Container, 0, 0, 0, 0.004192, 0.004192, 0
Link, 0, MPI_LINK, 0.000056, 0.000883, 0.000827, PTP, rank-2, rank-0, 2_0_-3334_2
Link, 0, MPI_LINK, 0.000056, 0.000883, 0.000827, PTP, rank-2, rank-1, 2_1_-3334_1
Link, 0, MPI_LINK, 0.000883, 0.001710, 0.000827, PTP, rank-0, rank-1, 0_1_-3334_4
Link, 0, MPI_LINK, 0.000883, 0.001710, 0.000827, PTP, rank-0, rank-2, 0_2_-3334_3
Link, 0, MPI_LINK, 0.001710, 0.002538, 0.000828, PTP, rank-1, rank-2, 1_2_-3334_6
Link, 0, MPI_LINK, 0.001710, 0.002538, 0.000828, PTP, rank-1, rank-0, 1_0_-3334_5
Link, 0, MPI_LINK, 0.002538, 0.003365, 0.000827, PTP, rank-2, rank-0, 2_0_-3334_8
Link, 0, MPI_LINK, 0.002538, 0.003365, 0.000827, PTP, rank-2, rank-1, 2_1_-3334_7
Link, 0, MPI_LINK, 0.003365, 0.004192, 0.000827, PTP, rank-0, rank-1, 0_1_-3334_10
Link, 0, MPI_LINK, 0.003365, 0.004192, 0.000827, PTP, rank-0, rank-2, 0_2_-3334_9
Container, 0, MPI, 0, 0.004192, 0.004192, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000056, 0.000056, 0.000000, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.000056, 0.001710, 0.001654, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.001710, 0.002538, 0.000828, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.002538, 0.002538, 0.000000, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.002538, 0.004192, 0.001654, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.004192, 0.004192, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.004192, 0.004192, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.000883, 0.000883, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.000883, 0.001710, 0.000827, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.001710, 0.001710, 0.000000, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.001710, 0.003365, 0.001655, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.003365, 0.004192, 0.000827, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.004192, 0.004192, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 0.004192, 0.004192, rank-0
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.000056, 0.000883, 0.000827, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.000883, 0.000883, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.000883, 0.002538, 0.001655, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.002538, 0.003365, 0.000827, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.003365, 0.003365, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.003365, 0.004192, 0.000827, 0.000000, PMPI_Finalize
