State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 0.001984, 0.001984, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.001984, 0.003551, 0.001567, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.003551, 0.004201, 0.000650, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.004201, 0.005677, 0.001476, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.005677, 0.006303, 0.000626, 0.000000, PMPI_Bcast
State, rank-6, MPI_STATE, 0.006303, 0.007935, 0.001632, 0.000000, PMPI_Finalize
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 0.001984, 0.001984, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.001984, 0.002723, 0.000739, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.002723, 0.004425, 0.001702, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.004425, 0.005051, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.005051, 0.005677, 0.000626, 0.000000, PMPI_Bcast
State, rank-5, MPI_STATE, 0.005677, 0.007935, 0.002258, 0.000000, PMPI_Finalize
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 0.001157, 0.001157, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.001157, 0.003148, 0.001991, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.003148, 0.003799, 0.000651, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.003799, 0.004425, 0.000626, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.004425, 0.004425, 0.000000, 0.000000, PMPI_Bcast
State, rank-4, MPI_STATE, 0.004425, 0.007935, 0.003510, 0.000000, PMPI_Finalize
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 0.001783, 0.001783, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.001783, 0.002522, 0.000739, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.002522, 0.003148, 0.000626, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.003148, 0.003148, 0.000000, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.003148, 0.007935, 0.004787, 0.000000, PMPI_Bcast
State, rank-3, MPI_STATE, 0.007935, 0.007935, 0.000000, 0.000000, PMPI_Finalize
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-2, MPI_STATE, 0.000000, 0.001157, 0.001157, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.001157, 0.001783, 0.000626, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.001783, 0.001783, 0.000000, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.001783, 0.006482, 0.004699, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.006482, 0.007935, 0.001453, 0.000000, PMPI_Bcast
State, rank-2, MPI_STATE, 0.007935, 0.007935, 0.000000, 0.000000, PMPI_Finalize
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-1, MPI_STATE, 0.000000, 0.001157, 0.001157, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.001157, 0.001157, 0.000000, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.001157, 0.005028, 0.003871, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.005028, 0.006482, 0.001454, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.006482, 0.007108, 0.000626, 0.000000, PMPI_Bcast
State, rank-1, MPI_STATE, 0.007108, 0.007935, 0.000827, 0.000000, PMPI_Finalize
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.000000, 0.003551, 0.003551, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.003551, 0.005028, 0.001477, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005028, 0.005654, 0.000626, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.005654, 0.006932, 0.001278, 0.000000, PMPI_Bcast
State, rank-0, MPI_STATE, 0.006932, 0.007935, 0.001003, 0.000000, PMPI_Finalize
